task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
98	cc/885943	37168525	factorize_worker (factorize_k10_worker19)	COMPLETED	0	2025-09-21 17:31:10.105	25m 46s	1m 39s	97.6%	232.5 MB	990.5 MB	36.4 MB	3.5 MB
94	7e/7f5a1e	37168521	factorize_worker (factorize_k15_worker18)	COMPLETED	0	2025-09-21 17:31:07.609	25m 53s	2m 13s	97.3%	231.1 MB	990.6 MB	36.4 MB	3.5 MB
96	0a/4c11e5	37168526	factorize_worker (factorize_k25_worker18)	COMPLETED	0	2025-09-21 17:31:10.232	26m 21s	2m 13s	97.5%	232.1 MB	988.9 MB	36.4 MB	3.5 MB
93	8c/b651c0	37168527	factorize_worker (factorize_k10_worker18)	COMPLETED	0	2025-09-21 17:31:10.357	26m 31s	1m 56s	97.6%	230.7 MB	989.3 MB	36.4 MB	3.5 MB
99	f4/7831c9	37168528	factorize_worker (factorize_k15_worker19)	COMPLETED	0	2025-09-21 17:31:10.482	26m 31s	1m 55s	97.3%	230.8 MB	990.4 MB	36.4 MB	3.5 MB
101	58/6f67be	37168530	factorize_worker (factorize_k25_worker19)	COMPLETED	0	2025-09-21 17:31:10.731	26m 30s	1m 54s	96.6%	230.4 MB	990.1 MB	36.4 MB	3.5 MB
97	f2/7d93b9	37168529	factorize_worker (factorize_k30_worker18)	COMPLETED	0	2025-09-21 17:31:10.607	26m 50s	2m 14s	97.5%	230.5 MB	990.1 MB	36.4 MB	3.5 MB
103	d4/f39cee	37168531	factorize_worker (factorize_k10_worker20)	COMPLETED	0	2025-09-21 17:31:10.858	27m	2m 25s	97.0%	230.9 MB	990.4 MB	36.4 MB	3.5 MB
100	fe/9d0a92	37168532	factorize_worker (factorize_k20_worker19)	COMPLETED	0	2025-09-21 17:31:11.006	27m	1m 53s	97.5%	231 MB	989.6 MB	36.4 MB	3.5 MB
102	ad/05c412	37168533	factorize_worker (factorize_k30_worker19)	COMPLETED	0	2025-09-21 17:31:11.134	27m 25s	1m 53s	97.5%	230.4 MB	988.9 MB	36.4 MB	3.5 MB
106	0c/347cbb	37168535	factorize_worker (factorize_k25_worker20)	COMPLETED	0	2025-09-21 17:31:11.383	27m 55s	2m 23s	97.8%	232.6 MB	990.3 MB	36.4 MB	3.5 MB
109	fe/38f8f0	37168536	factorize_worker (factorize_k15_worker21)	COMPLETED	0	2025-09-21 17:31:11.510	28m 10s	2m 3s	97.5%	230.7 MB	990.2 MB	36.4 MB	3.5 MB
110	0b/eb1ef1	37168539	factorize_worker (factorize_k20_worker21)	COMPLETED	0	2025-09-21 17:31:11.905	28m 19s	2m 17s	97.7%	230.6 MB	989.3 MB	36.4 MB	3.5 MB
105	eb/cfae41	37168537	factorize_worker (factorize_k20_worker20)	COMPLETED	0	2025-09-21 17:31:11.634	28m 29s	2m 26s	97.5%	230.3 MB	989.9 MB	36.4 MB	3.5 MB
107	bf/3614f5	37168538	factorize_worker (factorize_k30_worker20)	COMPLETED	0	2025-09-21 17:31:11.757	28m 29s	2m 24s	97.9%	230.2 MB	990 MB	36.4 MB	3.5 MB
111	47/d44d6b	37168540	factorize_worker (factorize_k25_worker21)	COMPLETED	0	2025-09-21 17:31:12.106	28m 34s	2m 1s	97.5%	232 MB	988.9 MB	36.4 MB	3.5 MB
108	52/c297d6	37168541	factorize_worker (factorize_k10_worker21)	COMPLETED	0	2025-09-21 17:31:12.314	28m 49s	2m 19s	97.5%	230.4 MB	990.1 MB	36.4 MB	3.5 MB
112	bd/ddf0e8	37168543	factorize_worker (factorize_k30_worker21)	COMPLETED	0	2025-09-21 17:31:12.706	28m 48s	2m 17s	97.9%	230.7 MB	990.4 MB	36.4 MB	3.5 MB
104	9d/6847e5	37168534	factorize_worker (factorize_k15_worker20)	COMPLETED	0	2025-09-21 17:31:11.259	29m 30s	3m 54s	60.7%	232.2 MB	991 MB	36.4 MB	3.5 MB
113	c7/5b7b0c	37168542	factorize_worker (factorize_k10_worker22)	COMPLETED	0	2025-09-21 17:31:12.503	29m 39s	3m 6s	97.6%	232.1 MB	989.9 MB	36.4 MB	3.5 MB
114	3e/38ad90	37168544	factorize_worker (factorize_k15_worker22)	COMPLETED	0	2025-09-21 17:31:12.908	30m 3s	3m 4s	97.7%	230.9 MB	990.7 MB	36.4 MB	3.5 MB
117	5e/42c043	37168546	factorize_worker (factorize_k30_worker22)	COMPLETED	0	2025-09-21 17:31:13.313	30m 3s	3m 2s	98.0%	232.3 MB	989 MB	36.4 MB	3.5 MB
115	10/f91251	37168545	factorize_worker (factorize_k20_worker22)	COMPLETED	0	2025-09-21 17:31:13.113	30m 8s	3m 4s	97.7%	232.6 MB	989.3 MB	36.4 MB	3.5 MB
116	3b/0b0cf5	37168547	factorize_worker (factorize_k25_worker22)	COMPLETED	0	2025-09-21 17:31:13.509	30m 38s	3m 4s	97.8%	231 MB	989.5 MB	36.4 MB	3.5 MB
120	1d/0f0003	37168548	factorize_worker (factorize_k20_worker23)	COMPLETED	0	2025-09-21 17:31:13.708	31m 2s	2m 59s	97.9%	232.7 MB	990.8 MB	36.5 MB	3.5 MB
121	7b/27142e	37168550	factorize_worker (factorize_k25_worker23)	COMPLETED	0	2025-09-21 17:31:14.226	31m 17s	2m 40s	97.8%	230.5 MB	990 MB	36.5 MB	3.5 MB
122	2f/732860	37168553	factorize_worker (factorize_k30_worker23)	COMPLETED	0	2025-09-21 17:31:14.409	31m 17s	2m 40s	97.8%	230.6 MB	989.9 MB	36.5 MB	3.5 MB
119	f0/3a45bb	37168549	factorize_worker (factorize_k15_worker23)	COMPLETED	0	2025-09-21 17:31:13.908	31m 37s	3m 1s	97.6%	231 MB	990 MB	36.5 MB	3.5 MB
118	60/b9fac6	37168555	factorize_worker (factorize_k10_worker23)	COMPLETED	0	2025-09-21 17:31:14.704	31m 36s	2m 59s	97.8%	230.5 MB	989.9 MB	36.5 MB	3.5 MB
123	dd/f6a1b2	37168554	factorize_worker (factorize_k10_worker24)	COMPLETED	0	2025-09-21 17:31:14.538	31m 47s	3m 12s	98.0%	230.6 MB	990 MB	36.5 MB	3.5 MB
126	41/88ad67	37168556	factorize_worker (factorize_k25_worker24)	COMPLETED	0	2025-09-21 17:31:14.907	32m 16s	3m 12s	97.6%	230.4 MB	989.9 MB	36.5 MB	3.5 MB
125	e5/268904	37168557	factorize_worker (factorize_k20_worker24)	COMPLETED	0	2025-09-21 17:31:15.107	32m 16s	3m 11s	98.1%	231.1 MB	990.4 MB	36.5 MB	3.5 MB
128	5d/ca0fc2	37168559	factorize_worker (factorize_k10_worker25)	COMPLETED	0	2025-09-21 17:31:15.507	32m 41s	2m 38s	97.6%	231.4 MB	990.7 MB	36.5 MB	3.5 MB
129	27/498035	37168561	factorize_worker (factorize_k15_worker25)	COMPLETED	0	2025-09-21 17:31:15.905	33m 10s	2m 37s	97.6%	230.7 MB	990.3 MB	36.5 MB	3.5 MB
130	0c/263358	37168562	factorize_worker (factorize_k20_worker25)	COMPLETED	0	2025-09-21 17:31:16.123	33m 10s	2m 38s	97.6%	232.2 MB	989.8 MB	36.5 MB	3.5 MB
127	08/4481ea	37168560	factorize_worker (factorize_k30_worker24)	COMPLETED	0	2025-09-21 17:31:15.715	33m 15s	3m 12s	98.0%	230.5 MB	990 MB	36.5 MB	3.5 MB
124	b0/df5631	37168558	factorize_worker (factorize_k15_worker24)	COMPLETED	0	2025-09-21 17:31:15.311	33m 36s	3m 59s	79.0%	232.4 MB	989.9 MB	36.5 MB	3.5 MB
131	2d/ac2745	37168563	factorize_worker (factorize_k25_worker25)	COMPLETED	0	2025-09-21 17:31:16.312	33m 40s	2m 37s	97.6%	230.9 MB	990.2 MB	36.5 MB	3.5 MB
133	b9/9c02c2	37168564	factorize_worker (factorize_k10_worker26)	COMPLETED	0	2025-09-21 17:31:16.505	33m 50s	2m 50s	97.9%	232.4 MB	989.2 MB	36.4 MB	3.5 MB
132	b7/958a7c	37168565	factorize_worker (factorize_k30_worker25)	COMPLETED	0	2025-09-21 17:31:16.704	33m 49s	2m 18s	97.6%	233 MB	990.3 MB	36.5 MB	3.5 MB
134	74/9c70a2	37168566	factorize_worker (factorize_k15_worker26)	COMPLETED	0	2025-09-21 17:31:16.902	34m 4s	2m 32s	97.7%	230.8 MB	989.2 MB	36.4 MB	3.5 MB
135	37/56f81e	37168567	factorize_worker (factorize_k20_worker26)	COMPLETED	0	2025-09-21 17:31:17.104	34m 54s	2m 53s	97.5%	231.1 MB	990.7 MB	36.4 MB	3.5 MB
